amp,ROI,position,subject
0.776366980681244,3,3,1
0,0,0,0
0,0,0,0
0,0,0,0
0.771281477858856,3,3,2
0,0,0,0
0,0,0,0
0,0,0,0
0.530128555685693,3,3,3
0,0,0,0
0,0,0,0
0,0,0,0
0.373128771662005,3,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0.883158514749753,3,3,5
0,0,0,0
0,0,0,0
0,0,0,0
0.362475672413344,3,3,6
0,0,0,0
0,0,0,0
0,0,0,0
0.424240329594805,3,3,7
0,0,0,0
0,0,0,0
0,0,0,0
0.748259587729518,3,3,8
0,0,0,0
0,0,0,0
0,0,0,0
0.759109727792752,3,3,9
0,0,0,0
0,0,0,0
0,0,0,0
0.731793316588337,4,3,1
0,0,0,0
0,0,0,0
0,0,0,0
0.816053812466071,4,3,2
0,0,0,0
0,0,0,0
0,0,0,0
0.507242961011111,4,3,3
0,0,0,0
0,0,0,0
0,0,0,0
0.585200180853339,4,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0.842740434425733,4,3,5
0,0,0,0
0,0,0,0
0,0,0,0
0.489201846285506,4,3,6
0,0,0,0
0,0,0,0
0,0,0,0
0.461014099959986,4,3,7
0,0,0,0
0,0,0,0
0,0,0,0
0.734249578576707,4,3,8
0,0,0,0
0,0,0,0
0,0,0,0
0.716286628138103,4,3,9
0,0,0,0
0,0,0,0
0,0,0,0
0.779185892803353,5,3,1
0,0,0,0
0,0,0,0
0,0,0,0
0.673916789941406,5,3,2
0,0,0,0
0,0,0,0
0,0,0,0
0.859361827116726,5,3,3
0,0,0,0
0,0,0,0
0,0,0,0
0.366180484561276,5,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0.805051303936473,5,3,5
0,0,0,0
0,0,0,0
0,0,0,0
0.435421500740901,5,3,6
0,0,0,0
0,0,0,0
0,0,0,0
0.487359661580389,5,3,7
0,0,0,0
0,0,0,0
0,0,0,0
1.87170302787141,5,3,8
0,0,0,0
0,0,0,0
0,0,0,0
0.676433496150066,5,3,9
0,0,0,0
0,0,0,0
0,0,0,0
0.922375809867062,6,3,1
0,0,0,0
0,0,0,0
0,0,0,0
0.627310330051608,6,3,2
0,0,0,0
0,0,0,0
0,0,0,0
0.659245340212599,6,3,3
0,0,0,0
0,0,0,0
0,0,0,0
0.54792222233468,6,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0.88545420012524,6,3,5
0,0,0,0
0,0,0,0
0,0,0,0
0.413183114563555,6,3,6
0,0,0,0
0,0,0,0
0,0,0,0
0.471387854009943,6,3,7
0,0,0,0
0,0,0,0
0,0,0,0
0.629569356428034,6,3,8
0,0,0,0
0,0,0,0
0,0,0,0
0.902095871714241,6,3,9
0,0,0,0
0,0,0,0
0,0,0,0
0.823226703425202,7,3,1
0,0,0,0
0,0,0,0
0,0,0,0
0.854312538185752,7,3,2
0,0,0,0
0,0,0,0
0,0,0,0
0.669050522651352,7,3,3
0,0,0,0
0,0,0,0
0,0,0,0
0.373125530199769,7,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0.924264339148376,7,3,5
0,0,0,0
0,0,0,0
0,0,0,0
0.615654172548705,7,3,6
0,0,0,0
0,0,0,0
0,0,0,0
0.380034924774377,7,3,7
0,0,0,0
0,0,0,0
0,0,0,0
