base,ROI,position,subject
0,0,0,0
0,0,0,0
-0.25289065590959,8,3,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.212273991506529,8,3,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.0849930347121618,8,3,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.321396315258925,8,3,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.202555717179898,8,3,9
0,0,0,0
0,0,0,0
0,0,0,0
0.0368201113646732,9,3,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.0279918387111727,9,3,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.217929006149169,9,3,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.147810097736609,9,3,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.249955392985585,9,3,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.145907796785755,9,3,6
0,0,0,0
0,0,0,0
0,0,0,0
0.0514277416175493,9,3,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.424833989247879,9,3,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.109700809254932,9,3,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.13219600002792,1,4,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.329284129796023,1,4,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.129164894273357,1,4,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.314719315431425,1,4,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.187139834009304,1,4,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.288036766931679,1,4,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.129770551307994,1,4,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.171916055733274,1,4,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.00988468755655894,1,4,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.128985827074983,2,4,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.338404131553329,2,4,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.128236608482517,2,4,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.346271313790998,2,4,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.107818545026767,2,4,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.245729397337691,2,4,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.103636665290617,2,4,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.216372287226679,2,4,8
